episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
178,460.0,504,109814,0.1,0.10426325022819496,446.15395341400006,True,False
179,450.0,399,110213,0.1,0.12427029337733984,447.6893353659999,True,False
180,1260.0,792,111005,0.1,0.10611704864887277,451.195411388,True,False
181,780.0,590,111595,0.1,0.11680210562942385,453.3533956739999,True,False
182,650.0,760,112355,0.1,0.11380246856102819,456.06017681699984,True,False
183,620.0,585,112940,0.1,0.1131343014069459,458.206294488,True,False
184,550.0,492,113432,0.1,0.11936511123568062,460.0156226359999,True,False
185,690.0,730,114162,0.1,0.12299174685440548,463.447507276,True,False
186,600.0,594,114756,0.1,0.09926502523481245,465.65409531299986,True,False
187,330.0,449,115205,0.1,0.09738737736396226,467.33261108,True,False
188,360.0,412,115617,0.1,0.11540257451531377,468.911203172,True,False
189,830.0,619,116236,0.1,0.12098549827933311,471.15653939499987,True,False
190,510.0,507,116743,0.1,0.09436114837548562,473.0533241659999,True,False
191,470.0,496,117239,0.1,0.11556145936370857,475.577759078,True,False
192,440.0,393,117632,0.1,0.10915695945497113,477.23088743000005,True,False
193,430.0,504,118136,0.1,0.12643096269300533,479.1763534579999,True,False
194,1500.0,698,118834,0.1,0.1314721667025795,481.78935714199986,True,False
195,560.0,525,119359,0.1,0.10545176355779626,483.83842195,True,False
196,730.0,615,119974,0.1,0.11776343115012754,486.32000752700003,True,False
197,630.0,546,120520,0.1,0.13432362350723603,489.06340414299996,True,False
198,560.0,498,121018,0.1,0.12528315046051097,490.9577236859999,True,False
199,410.0,489,121507,0.1,0.11653405412665156,492.869887338,True,False
200,590.0,548,122055,0.1,0.0988705352791687,495.026050996,True,False
201,850.0,601,122656,0.1,0.11130489103052,500.29646087799995,True,False
202,670.0,562,123218,0.1,0.11455811975257738,502.79241800600005,True,False
203,790.0,618,123836,0.1,0.12227089636989179,505.10245171400004,True,False
204,460.0,419,124255,0.1,0.09389401773492304,506.7944254739999,True,False
205,1080.0,994,125249,0.1,0.12344053345751092,510.4194351289999,True,False
206,1020.0,570,125819,0.1,0.10963012916888569,512.8731783489999,True,False
207,580.0,512,126331,0.1,0.09584081015782431,515.2727659429999,True,False
208,1110.0,715,127046,0.1,0.12037772521917714,517.9216451229998,True,False
209,950.0,681,127727,0.1,0.11434343401342631,520.458319473,True,False
210,400.0,425,128152,0.1,0.09479060930974573,522.0877235249999,True,False
211,360.0,496,128648,0.1,0.1036059292363784,523.972450915,True,False
212,1410.0,773,129421,0.1,0.12996748958381346,527.427287563,True,False
213,610.0,540,129961,0.1,0.0909731672041946,529.507173356,True,False
214,750.0,562,130523,0.1,0.1243913940154016,531.6532039800001,True,False
215,570.0,667,131190,0.1,0.11074049827715236,534.1159146249998,True,False
216,630.0,610,131800,0.1,0.10200317664181485,536.3602039209999,True,False
217,670.0,533,132333,0.1,0.12360273850591559,538.770531262,True,False
218,1050.0,832,133165,0.1,0.14349494217178568,542.15005108,True,False
219,330.0,502,133667,0.1,0.11532787898927926,544.058176373,True,False
220,510.0,471,134138,0.1,0.09899062346035646,545.8720824859998,True,False
221,830.0,730,134868,0.1,0.10540148417358516,548.505194661,True,False
222,820.0,729,135597,0.1,0.0991742941141538,551.508539714,True,False
223,520.0,476,136073,0.1,0.10911148913329889,553.6536397149999,True,False
224,800.0,590,136663,0.1,0.12201135611909182,555.815242494,True,False
225,810.0,678,137341,0.1,0.13262691772816812,558.2974061869999,True,False
226,670.0,503,137844,0.1,0.1189890287313906,561.9704363509999,True,False
227,770.0,668,138512,0.1,0.11814449530674848,564.9622350209999,True,False
228,720.0,615,139127,0.1,0.14025583354378837,567.3988322280001,True,False
229,1030.0,700,139827,0.1,0.12805000181176832,570.0225259149998,True,False
230,700.0,764,140591,0.1,0.1471456043246685,572.8725036479999,True,False
231,770.0,675,141266,0.1,0.10707109612164765,575.4605678649999,True,False
232,410.0,493,141759,0.1,0.11165526793981956,578.017803973,True,False
233,450.0,447,142206,0.1,0.11839358473662287,579.7697685699999,True,False
234,1040.0,730,142936,0.1,0.13333078672284962,582.4520825989999,True,False
235,650.0,525,143461,0.1,0.15572951822221734,584.416950299,True,False
236,260.0,379,143840,0.1,0.10730703380939208,585.882279826,True,False
237,410.0,455,144295,0.1,0.12619814725048775,587.6047352089998,True,False
238,1000.0,633,144928,0.1,0.1325097622923881,590.5524511739999,True,False
239,340.0,471,145399,0.1,0.15208514221012592,592.4086998709998,True,False
240,1080.0,687,146086,0.1,0.12510567218021945,594.9305471209999,True,False
241,1250.0,734,146820,0.1,0.1371557977070789,597.6347773229999,True,False
242,510.0,452,147272,0.1,0.18043534714827494,599.356456653,True,False
243,1000.0,816,148088,0.1,0.11887642350413051,602.7875697639998,True,False
244,740.0,664,148752,0.1,0.1187340965472072,605.5770548659999,True,False
245,820.0,717,149469,0.1,0.13136072711259458,608.1391575239999,True,False
246,200.0,401,149870,0.1,0.10976621074602008,609.6718112069999,True,False
247,640.0,603,150473,0.1,0.11443288574945058,611.9118302319999,True,False
248,670.0,718,151191,0.1,0.12220420085892664,614.7455556619999,True,False
249,620.0,548,151739,0.1,0.10509118740956713,617.2327741179998,True,False
250,430.0,475,152214,0.1,0.1131579497938647,618.999653685,True,False
251,660.0,644,152858,0.1,0.11930853684912927,623.0298340159999,True,False
252,1270.0,604,153462,0.1,0.11959827717220942,625.2561514519999,True,False
253,190.0,305,153767,0.1,0.13335932124602168,626.503590891,True,False
254,380.0,490,154257,0.1,0.12642904737494826,628.975347703,True,False
255,170.0,358,154615,0.1,0.13180493590620795,630.3935440429999,True,False
256,1040.0,951,155566,0.1,0.17368004167405496,633.8092777179999,True,False
257,440.0,451,156017,0.1,0.14322432677830216,635.534156692,True,False
258,1160.0,969,156986,0.1,0.1306947364264037,638.9758970469999,True,False
259,330.0,396,157382,0.1,0.12243117647941666,640.897325218,True,False
260,330.0,431,157813,0.1,0.11094026153700219,642.813232787,True,False
261,350.0,458,158271,0.1,0.09103270990185831,644.566984554,True,False
262,540.0,651,158922,0.1,0.11100164535198292,646.9696599099999,True,False
263,930.0,752,159674,0.1,0.11600308270847544,649.664140561,True,False
264,250.0,380,160054,0.1,0.09735094522567171,651.139668642,True,False
265,580.0,543,160597,0.1,0.10413667493883301,653.5832124919999,True,False
266,540.0,536,161133,0.1,0.13351937899115815,655.843517964,True,False
267,450.0,586,161719,0.1,0.11398040175386896,658.045636622,True,False
268,450.0,422,162141,0.1,0.09804221785644877,659.681916334,True,False
269,420.0,497,162638,0.1,0.1189585622970856,661.5750110079999,True,False
270,840.0,840,163478,0.1,0.1288922831682222,664.7245343139999,True,False
271,490.0,509,163987,0.1,0.10502534038497238,667.2890799359999,True,False
272,700.0,568,164555,0.1,0.11381479315984418,669.4166721369999,True,False
273,870.0,787,165342,0.1,0.12686018968180654,672.36391892,True,False
274,340.0,476,165818,0.1,0.10988505361523448,674.169506609,True,False
275,2070.0,931,166749,0.1,0.12335959076481699,677.5941617739999,True,False
276,990.0,860,167609,0.1,0.14117986956654593,683.7595187189999,True,False
277,310.0,394,168003,0.1,0.12485110854768024,685.3029549459999,True,False
278,440.0,404,168407,0.1,0.12039535155169445,686.847453497,True,False
279,780.0,789,169196,0.1,0.10795480712796703,689.698942397,True,False
280,440.0,491,169687,0.1,0.13855794365288782,692.0628758869999,True,False
281,400.0,534,170221,0.1,0.14085940323047227,694.392178493,True,False
282,300.0,373,170594,0.1,0.1431028817289619,695.8565660179999,True,False
283,770.0,680,171274,0.1,0.10793488246991353,698.480248322,True,False
284,960.0,651,171925,0.1,0.1359780732816531,701.015252023,True,False
