episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
142,250.0,470,82162,0.1,0.06695329553137223,346.449268805,True,False
143,560.0,620,82782,0.1,0.07846110476361166,348.98268611200047,True,False
144,660.0,527,83309,0.1,0.08627096356146714,351.1475794840003,True,False
145,800.0,568,83877,0.1,0.08902982295110402,353.43334277500026,True,False
146,830.0,787,84664,0.1,0.0836005238248839,357.28206734400055,True,False
147,760.0,727,85391,0.1,0.08124832903132748,360.25739447000024,True,False
148,1980.0,995,86386,0.1,0.07574952309988589,364.193033563,True,False
149,530.0,417,86803,0.1,0.07202862252373822,365.995183044,True,False
150,260.0,417,87220,0.1,0.07305325715846958,368.0201136370001,True,False
151,3840.0,708,87928,0.1,0.0813246531527763,373.9136028960006,True,False
152,1330.0,841,88769,0.1,0.0714531005094094,377.31447703000003,True,False
153,1060.0,811,89580,0.1,0.08244306789573484,380.9500569229999,True,False
154,680.0,612,90192,0.1,0.08246467127982113,383.9361254070004,True,False
155,450.0,418,90610,0.1,0.07810350285413173,385.78298601899996,True,False
156,1150.0,636,91246,0.1,0.08217942015906363,388.55135816699976,True,False
157,470.0,527,91773,0.1,0.07959760019950794,390.82901309100043,True,False
158,880.0,628,92401,0.1,0.07747931289041687,394.01526740500003,True,False
159,390.0,499,92900,0.1,0.0743727999329567,396.53588312700003,True,False
160,550.0,575,93475,0.1,0.09252298099047446,398.97411831399995,True,False
161,350.0,473,93948,0.1,0.10784489052573673,401.0787313380001,True,False
162,790.0,655,94603,0.1,0.08805871520625667,403.88811983200003,True,False
163,620.0,561,95164,0.1,0.0822677434758937,406.711872372,True,False
164,420.0,375,95539,0.1,0.08373310973727575,408.80542730800016,True,False
165,500.0,512,96051,0.1,0.08500805475341622,410.99854120200007,True,False
166,3640.0,980,97031,0.1,0.08193844118136533,415.09532421300037,True,False
167,1890.0,790,97821,0.1,0.08253933555644119,418.60933408699975,True,False
168,1060.0,1155,98976,0.1,0.07609957155600758,424.0347640920004,True,False
169,590.0,509,99485,0.1,0.08333745664792268,426.24839364100035,True,False
170,550.0,519,100004,0.1,0.08726596615921993,428.5140185430005,True,False
171,1670.0,867,100871,0.1,0.08327252690300897,432.6049684220002,True,False
172,470.0,417,101288,0.1,0.08468898025651773,434.863694139,True,False
173,720.0,593,101881,0.1,0.08708823158883967,437.48601104599993,True,False
174,760.0,671,102552,0.1,0.08495105042432745,440.26049323899997,True,False
175,420.0,413,102965,0.1,0.08639875690461797,442.07614461300045,True,False
176,2830.0,774,103739,0.1,0.08907899098866498,448.3259893540003,True,False
177,790.0,783,104522,0.1,0.08937469237883176,451.47781444900056,True,False
178,730.0,562,105084,0.1,0.084119860307439,453.7973559520001,True,False
179,350.0,433,105517,0.1,0.10096762441443624,455.61315233600044,True,False
180,330.0,386,105903,0.1,0.10250303919504707,457.4701764480001,True,False
181,1280.0,676,106579,0.1,0.08739166571235163,461.69831801100054,True,False
182,1110.0,666,107245,0.1,0.09596153691098719,464.3486962760003,True,False
183,670.0,551,107796,0.1,0.08284608807171816,466.567511406,True,False
184,360.0,436,108232,0.1,0.09097457260166833,468.3720965110001,True,False
185,750.0,496,108728,0.1,0.09811480400422888,470.58761427000036,True,False
186,740.0,608,109336,0.1,0.10420118013739978,473.75182632800033,True,False
187,260.0,395,109731,0.1,0.08762593748884237,475.42906173300025,True,False
188,430.0,438,110169,0.1,0.08625169459053061,477.4048198579999,True,False
189,1300.0,605,110774,0.1,0.08025103864192173,480.0487444530004,True,False
190,980.0,699,111473,0.1,0.08449826401259218,483.17164431300034,True,False
191,460.0,436,111909,0.1,0.10754714538813184,485.90643017699995,True,False
192,360.0,407,112316,0.1,0.0897605771783228,487.7468276980003,True,False
193,300.0,422,112738,0.1,0.08096416111858118,489.5987274029999,True,False
194,590.0,644,113382,0.1,0.08467995584797786,492.3930226309999,True,False
195,640.0,569,113951,0.1,0.089765768301424,494.84903923400043,True,False
196,410.0,465,114416,0.1,0.0862942346586631,497.33252610000045,True,False
197,660.0,694,115110,0.1,0.08939795633185806,500.68326495800056,True,False
198,540.0,598,115708,0.1,0.0791147128244241,503.3243257270001,True,False
199,800.0,677,116385,0.1,0.08379711028871804,506.2733456810006,True,False
200,890.0,544,116929,0.1,0.08882406390244689,508.89232418500023,True,False
201,380.0,429,117358,0.1,0.07466638903786367,514.3951411350004,True,False
202,600.0,606,117964,0.1,0.0878472532341747,517.0165342220002,True,False
203,460.0,494,118458,0.1,0.09677593426672908,519.2124357590005,True,False
204,1090.0,1023,119481,0.1,0.08796521510521416,524.4459026700001,True,False
205,720.0,584,120065,0.1,0.0793305287354511,527.0987131200004,True,False
206,570.0,686,120751,0.1,0.08416146461508776,530.0961946370003,True,False
207,380.0,430,121181,0.1,0.09427297782773773,532.011467283,True,False
208,1180.0,715,121896,0.1,0.08790898823579929,535.271657361,True,False
209,930.0,707,122603,0.1,0.09377781374760988,539.1356200370005,True,False
210,650.0,657,123260,0.1,0.09449247366776972,541.9934694730005,True,False
211,510.0,452,123712,0.1,0.09880699799190053,544.0126998990004,True,False
212,460.0,533,124245,0.1,0.08429201132148728,546.343294494,True,False
213,830.0,740,124985,0.1,0.10433688919890571,550.2925232800003,True,False
214,390.0,442,125427,0.1,0.10799254673448476,552.3190934720001,True,False
215,1360.0,821,126248,0.1,0.09286202179286086,555.8740014170003,True,False
216,370.0,442,126690,0.1,0.10766461060636423,557.8063864910005,True,False
217,670.0,595,127285,0.1,0.08723527083060885,560.3599166079998,True,False
218,680.0,574,127859,0.1,0.09521618441815351,563.7188568080005,True,False
219,370.0,478,128337,0.1,0.0988597402193894,565.8530800470003,True,False
220,1230.0,837,129174,0.1,0.08785165295575224,569.376817287,True,False
221,1020.0,958,130132,0.1,0.09776894683018326,573.4195338690001,True,False
222,500.0,545,130677,0.1,0.10861791729214876,576.6259417710003,True,False
223,630.0,640,131317,0.1,0.08661350889597089,579.3927197320004,True,False
224,380.0,456,131773,0.1,0.10745974545154655,581.4055010500001,True,False
225,950.0,680,132453,0.1,0.09916289914399386,584.3184278559997,True,False
226,820.0,723,133176,0.1,0.1083002820178784,590.4019176830002,True,False
227,310.0,510,133686,0.1,0.11652659576415546,592.6788435620006,True,False
228,870.0,747,134433,0.1,0.09526176518576349,595.9227604600005,True,False
229,960.0,820,135253,0.1,0.1030607529893154,599.5542182109998,True,False
230,2490.0,806,136059,0.1,0.10388997704050137,603.7744970460003,True,False
231,690.0,593,136652,0.1,0.09641243016109771,606.4382435889997,True,False
232,500.0,587,137239,0.1,0.09389453893527389,608.9849904100006,True,False
233,470.0,531,137770,0.1,0.10463360697031021,611.3064972329998,True,False
234,830.0,654,138424,0.1,0.11001369085662611,614.923898433,True,False
235,800.0,611,139035,0.1,0.10376770494775356,617.7936500860001,True,False
236,440.0,451,139486,0.1,0.11731911055018417,619.8764057250005,True,False
237,1200.0,737,140223,0.1,0.09391879366265367,623.1195668920004,True,False
